id,group,aff,strength,polviews_cat,age,sex,edu,wordsum,wordsum_cat,sci_knowledge,sci_kn_cat,oth_att,oth_att_cat
834,2,lib,sl,sl_lib,37,male,<bach,5,lower,5,higher,0.5,lower
451,2,lib,sl,sl_lib,37,male,<bach,5,lower,1,lower,1,higher
58,2,lib,sl,sl_lib,32,male,bach,5,lower,5,higher,0.9166666666666666,higher
931,2,lib,sl,sl_lib,25,female,bach,5,lower,2,lower,0.75,mid
287,2,lib,sl,sl_lib,63,male,grad,5,lower,5,higher,0.75,mid
357,2,lib,sl,sl_lib,24,male,bach,5,lower,5,higher,0.5,lower
97,2,lib,sl,sl_lib,36,female,bach,5,lower,5,higher,0.75,mid
680,2,lib,sl,sl_lib,24,female,<bach,6,lower,4,mid,0.75,mid
262,2,lib,sl,sl_lib,39,female,<bach,6,lower,3,mid,0.75,mid
387,2,lib,sl,sl_lib,36,male,bach,6,lower,4,mid,0.75,mid
838,2,lib,sl,sl_lib,49,female,grad,6,lower,4,mid,0.6666666666666666,mid
746,2,lib,sl,sl_lib,30,male,grad,6,lower,4,mid,0.6666666666666666,mid
554,2,lib,sl,sl_lib,24,female,<bach,6,lower,2,lower,0.8333333333333334,higher
112,2,lib,sl,sl_lib,37,female,<bach,6,lower,4,mid,0.5,lower
455,2,lib,sl,sl_lib,59,male,bach,6,lower,4,mid,1,higher
497,2,lib,sl,sl_lib,23,male,<bach,6,lower,4,mid,0.9166666666666666,higher
155,2,lib,sl,sl_lib,22,male,bach,6,lower,4,mid,0.8333333333333334,higher
566,2,lib,sl,sl_lib,63,male,<bach,6,lower,3,mid,0.4166666666666667,lower
425,2,lib,sl,sl_lib,51,female,<bach,6,lower,3,mid,1,higher
125,2,lib,sl,sl_lib,18,male,<bach,6,lower,3,mid,1,higher
778,2,lib,sl,sl_lib,33,female,bach,6,lower,4,mid,1,higher
203,2,lib,sl,sl_lib,32,male,<bach,6,lower,3,mid,0.6666666666666666,mid
780,2,lib,sl,sl_lib,33,female,grad,6,lower,3,mid,0.8333333333333334,higher
610,2,lib,sl,sl_lib,31,male,bach,7,lower,5,higher,0.75,mid
817,2,lib,sl,sl_lib,24,male,<bach,7,lower,2,lower,0.75,mid
880,2,lib,sl,sl_lib,44,female,<bach,7,lower,4,mid,1,higher
581,2,lib,sl,sl_lib,35,male,bach,7,lower,4,mid,0.75,mid
490,2,lib,sl,sl_lib,28,female,bach,7,lower,3,mid,0.75,mid
823,2,lib,sl,sl_lib,33,male,<bach,7,lower,4,mid,1,higher
635,2,lib,sl,sl_lib,48,female,<bach,7,lower,5,higher,0.8333333333333334,higher
369,2,lib,sl,sl_lib,39,male,bach,7,lower,3,mid,0.75,mid
673,2,lib,sl,sl_lib,49,female,<bach,7,lower,2,lower,0.6666666666666666,mid
547,2,lib,sl,sl_lib,53,male,grad,7,lower,4,mid,0.75,mid
417,2,lib,sl,sl_lib,48,male,<bach,7,lower,4,mid,0.6666666666666666,mid
427,2,lib,sl,sl_lib,49,female,<bach,7,lower,5,higher,0.5833333333333334,lower
660,2,lib,sl,sl_lib,32,female,grad,7,lower,4,mid,0.8333333333333334,higher
552,2,lib,sl,sl_lib,43,male,grad,7,lower,4,mid,0.75,mid
496,2,lib,sl,sl_lib,32,male,grad,7,lower,5,higher,0.6666666666666666,mid
239,2,lib,sl,sl_lib,32,male,<bach,7,lower,3,mid,0.75,mid
132,2,lib,sl,sl_lib,37,female,bach,7,lower,2,lower,0.75,mid
614,2,lib,sl,sl_lib,38,female,bach,7,lower,4,mid,0.75,mid
337,2,lib,sl,sl_lib,32,male,grad,7,lower,2,lower,1,higher
60,2,lib,sl,sl_lib,47,male,bach,7,lower,3,mid,0.9166666666666666,higher
935,2,lib,sl,sl_lib,69,male,<bach,7,lower,4,mid,0.75,mid
283,2,lib,sl,sl_lib,50,female,<bach,7,lower,4,mid,0.8333333333333334,higher
289,2,lib,sl,sl_lib,54,male,bach,7,lower,4,mid,0.4166666666666667,lower
847,4,lib,sl,sl_lib,31,female,bach,8,higher,5,higher,0.75,mid
123,4,lib,sl,sl_lib,33,female,<bach,8,higher,4,mid,0.75,mid
803,4,lib,sl,sl_lib,45,male,bach,8,higher,5,higher,0.6666666666666666,mid
127,4,lib,sl,sl_lib,33,female,<bach,8,higher,4,mid,0.5833333333333334,lower
883,4,lib,sl,sl_lib,46,male,bach,8,higher,4,mid,0.6666666666666666,mid
49,4,lib,sl,sl_lib,35,female,grad,8,higher,4,mid,0.75,mid
501,4,lib,sl,sl_lib,61,male,bach,8,higher,3,mid,0.9166666666666666,higher
483,4,lib,sl,sl_lib,29,female,bach,8,higher,2,lower,0.6666666666666666,mid
877,4,lib,sl,sl_lib,39,male,<bach,8,higher,2,lower,0.75,mid
518,4,lib,sl,sl_lib,48,male,grad,8,higher,4,mid,0.75,mid
266,4,lib,sl,sl_lib,27,female,bach,8,higher,5,higher,0.9166666666666666,higher
849,4,lib,sl,sl_lib,38,female,<bach,8,higher,4,mid,0.6666666666666666,mid
270,4,lib,sl,sl_lib,30,female,<bach,8,higher,5,higher,0.75,mid
27,4,lib,sl,sl_lib,47,female,<bach,8,higher,3,mid,0.75,mid
65,4,lib,sl,sl_lib,49,male,<bach,8,higher,2,lower,0.75,mid
349,4,lib,sl,sl_lib,40,female,bach,8,higher,4,mid,0.9166666666666666,higher
453,4,lib,sl,sl_lib,19,male,<bach,8,higher,5,higher,0.75,mid
247,4,lib,sl,sl_lib,30,female,<bach,8,higher,3,mid,0.75,mid
549,4,lib,sl,sl_lib,50,female,bach,8,higher,5,higher,0.8333333333333334,higher
809,4,lib,sl,sl_lib,34,female,<bach,9,higher,4,mid,0.75,mid
89,4,lib,sl,sl_lib,33,male,bach,9,higher,4,mid,0.8333333333333334,higher
156,4,lib,sl,sl_lib,49,female,grad,9,higher,5,higher,0.75,mid
568,4,lib,sl,sl_lib,81,male,grad,9,higher,3,mid,0.9166666666666666,higher
668,4,lib,sl,sl_lib,27,male,bach,9,higher,4,mid,0.75,mid
878,4,lib,sl,sl_lib,45,female,bach,9,higher,5,higher,0.5,lower
728,4,lib,sl,sl_lib,33,male,bach,9,higher,4,mid,0.75,mid
764,4,lib,sl,sl_lib,34,female,bach,9,higher,5,higher,1,higher
732,4,lib,sl,sl_lib,34,female,bach,9,higher,4,mid,1,higher
228,4,lib,sl,sl_lib,21,male,<bach,9,higher,5,higher,0.8333333333333334,higher
321,4,lib,sl,sl_lib,41,male,<bach,9,higher,5,higher,0.5833333333333334,lower
